gem_id,gem_name,gem_slug,gem_price,query_primary,query_fallback,fk_name,fk_price,similarity,scorer,matched,cosine_ok,model_token_match,pack_match,form_match,gem_form,fk_form,gem_tokens,fk_tokens,gem_pack,fk_pack,decision,reason
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,PRODOT USB HUB PLAY PLUS DIC-USB_HUB-4_1P USB Hub Black 3.8 (67),224.0,0.5894,embedding,NO,False,False,True,True,,,curvy mu,1p 67 7 dic play,1,1,REJECT,"cosine 0.589 < 0.6; no model token overlap ({'mu', 'curvy'} vs {'play', '7', '1p', '67', 'dic'})"
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,"PRODOT DIC-MU-253s-MAP-02 Wired Right Handed Optical Mo... USB 2.0, Black 3.6 (88)",199.0,0.5431,embedding,NO,False,True,True,True,,,curvy mu,02 2 253s 88 dic handed map mo mu right,1,1,REJECT,cosine 0.543 < 0.6
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,PRODOT Hindi Devanagari (English to HIndi Typing)| with... Black 3.9 (202),525.0,0.2375,embedding,NO,False,False,True,True,,,curvy mu,02 202 devanagari english hindi typing,1,1,REJECT,"cosine 0.238 < 0.6; no model token overlap ({'mu', 'curvy'} vs {'english', '02', 'typing', '202', 'devanagari', 'hindi'})"
8,hp Wireless Computer Mouse,hp-115-wireless-mouse-india,256.0,hp 115 wireless mouse,hp 115 wireless,"HP M290 Wireless Ambidextrous Optical Mouse Mode Switch... 4.1 (1,868)",498.0,0.5457,embedding,NO,False,False,True,True,,,115,290 68 868 m290 mode,1,1,REJECT,"cosine 0.546 < 0.6; no model token overlap ({'115'} vs {'68', 'm290', 'mode', '868', '290'})"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS Zeb-K20 Keyboard and Zeb comfort mouse Plus c... 3.8 (87),498.0,0.6141,embedding,NO,True,False,False,True,,,receiver,20 7 87 comfort k20 zeb,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'20', '7', 'zeb', 'k20', '87', 'comfort'}); pack mismatch (gem=bundle vs fk=1)"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS KEYBOARD K-65 AND MOUSE COMFORT+ Combo Set De... 2.8 (6),494.0,0.5822,embedding,NO,False,False,True,True,,,receiver,5 65 comfort de,bundle,bundle,REJECT,"cosine 0.582 < 0.6; no model token overlap ({'receiver'} vs {'de', 'comfort', '65', '5'})"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Transformer Pro Wireless Standard Gaming Keyb... 4.2 (3,823)",1799.0,0.4467,embedding,NO,False,False,False,True,,,receiver,23 823 keyb transformer,bundle,1,REJECT,"cosine 0.447 < 0.6; no model token overlap ({'receiver'} vs {'23', 'transformer', 'keyb', '823'}); pack mismatch (gem=bundle vs fk=1)"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Transformer (ZEB KMC 10) Wired USB Standard L... 4.4 (31,372)",1422.0,0.4265,embedding,NO,False,False,False,True,,,receiver,0 1 10 31 372 72 kmc transformer zeb,bundle,1,REJECT,"cosine 0.427 < 0.6; no model token overlap ({'receiver'} vs {'transformer', 'zeb', '72', '31', 'kmc', '372', '0', '10', '1'}); pack mismatch (gem=bundle vs fk=1)"
10,LAPCARE USB Type A Wired Keyboard + Wired …,lapcare-magma-lmk-105,600.0,lapcare magma lmk 105,lapcare magma lmk,LAPCARE Desktop 3 Pin Power Cable Combo Set Black,199.0,0.4147,embedding,NO,False,False,False,True,,desktop,05 105 lmk magma type,pin power,1,bundle,REJECT,"cosine 0.415 < 0.6; no model token overlap ({'105', 'lmk', 'type', 'magma', '05'} vs {'power', 'pin'}); pack mismatch (gem=1 vs fk=bundle)"
10,LAPCARE USB Type A Wired Keyboard + Wired …,lapcare-magma-lmk-105,600.0,lapcare magma lmk 105,lapcare magma lmk,"LAPCARE DCX-A101 2 Fan Ergonomic Cooling Pad with Adjus... Black 4.2 (19,016)",679.0,0.337,embedding,NO,False,False,True,True,,,05 105 lmk magma type,016 101 16 19 9 a101 adjus cooling dcx fan pad,1,1,REJECT,"cosine 0.337 < 0.6; no model token overlap ({'105', 'lmk', 'type', 'magma', '05'} vs {'101', 'a101', 'cooling', '16', '016', 'adjus', 'pad', '9', 'fan', '19', 'dcx'})"
10,LAPCARE USB Type A Wired Keyboard + Wired …,lapcare-magma-lmk-105,600.0,lapcare magma lmk 105,lapcare magma lmk,"LAPCARE Battery Compatible with WU946,WU960,MT276,MT264... 3.3 (19)",1611.0,0.3006,embedding,NO,False,False,True,True,,laptop,05 105 lmk magma type,19 264 276 9 946 960 mt264 mt276 wu946 wu960,1,1,REJECT,"cosine 0.301 < 0.6; no model token overlap ({'105', 'lmk', 'type', 'magma', '05'} vs {'wu946', 'wu960', '960', 'mt264', '19', '9', '276', '264', '946', 'mt276'})"
11,ProDot USB Type A Wired Keyboard + Wired …,prodot-trc-207-comfy-usb,600.0,prodot trc 207 comfy usb,prodot trc 207,PRODOT PRO 207 Desktop Keyboard Replacement Key 3.8 (4),439.0,0.5955,embedding,NO,False,True,True,True,,desktop,07 207 comfy trc type,07 207 key replacement,1,1,REJECT,cosine 0.596 < 0.6
13,ZEBRONICS RF (with USB Receiver) Wireless …,wireless-keyboard-mouse-combo,645.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS Zeb-K20 Keyboard and Zeb comfort mouse Plus c... 3.8 (87),498.0,0.6324,embedding,NO,True,False,False,True,,,receiver,20 7 87 comfort k20 zeb,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'20', '7', 'zeb', 'k20', '87', 'comfort'}); pack mismatch (gem=bundle vs fk=1)"
13,ZEBRONICS RF (with USB Receiver) Wireless …,wireless-keyboard-mouse-combo,645.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Companion 201 Wireless Standard Desktop Keybo... 4.2 (3,104)",888.0,0.6227,embedding,NO,True,False,False,True,,,receiver,01 04 104 201 companion keybo,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'keybo', 'companion', '104', '04', '01', '201'}); pack mismatch (gem=bundle vs fk=1)"
13,ZEBRONICS RF (with USB Receiver) Wireless …,wireless-keyboard-mouse-combo,645.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Zeb-K20 Keyboard and Zeb-Rise Mouse Combo Set... 3.9 (1,617)",500.0,0.6025,embedding,NO,True,False,True,True,,,receiver,17 20 617 k20 rise zeb,bundle,bundle,REJECT,"no model token overlap ({'receiver'} vs {'20', '17', 'zeb', 'k20', 'rise', '617'})"
15,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,690.97,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Zeb-Companion 300 Wireless Keyboard with Retr... 4.3 (3,236)",1299.0,0.6353,embedding,NO,True,False,False,True,,,receiver,00 236 300 36 companion retr zeb,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'companion', '236', '00', 'zeb', '300', 'retr', '36'}); pack mismatch (gem=bundle vs fk=1)"
15,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,690.97,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Companion 201 Wireless Standard Desktop Keybo... 4.2 (3,101)",1099.0,0.5919,embedding,NO,False,False,False,True,,,receiver,01 101 201 companion keybo,bundle,1,REJECT,"cosine 0.592 < 0.6; no model token overlap ({'receiver'} vs {'keybo', '101', 'companion', '01', '201'}); pack mismatch (gem=bundle vs fk=1)"
15,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,690.97,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS Zeb-Companion 301 (Garden) Wireless Standard ... 4.2 (916),999.0,0.4726,embedding,NO,False,False,False,True,,,receiver,01 16 301 916 companion garden zeb,bundle,1,REJECT,"cosine 0.473 < 0.6; no model token overlap ({'receiver'} vs {'companion', '16', 'zeb', '301', '01', '916', 'garden'}); pack mismatch (gem=bundle vs fk=1)"
16,LAPCARE RF (with USB Receiver) Wireless …,lapcare-wireless-combo-wl-204,750.0,lapcare wireless combo wl 204,lapcare wireless combo,LAPCARE USB Adapter,350.0,0.6189,embedding,NO,True,False,False,True,,,04 204 receiver wl,,bundle,1,REJECT,"no model token overlap ({'wl', 'receiver', '204', '04'} vs -); pack mismatch (gem=bundle vs fk=1)"
16,LAPCARE RF (with USB Receiver) Wireless …,lapcare-wireless-combo-wl-204,750.0,lapcare wireless combo wl 204,lapcare wireless combo,LAPCARE Laptop Battery for Asus X550C 4 Cell 2200 mAh P... 4.3 (16),1399.0,0.2607,embedding,NO,False,False,False,True,,laptop,04 204 receiver wl,16 2200 6 cell mah x550c,bundle,1,REJECT,"cosine 0.261 < 0.6; no model token overlap ({'wl', 'receiver', '204', '04'} vs {'cell', 'x550c', '16', '2200', '6', 'mah'}); pack mismatch (gem=bundle vs fk=1)"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,"PRODOT New Universal Powder 12A 88A, 337, 912, 925, 35A... 4.7 (10)",707.0,0.359,embedding,NO,False,False,True,True,,,receiver sparsh wlc,0 10 12 12a 25 337 35a 88a 912 925 powder universal,1,1,REJECT,"cosine 0.359 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'25', '12a', '925', '35a', '0', 'universal', '912', '10', 'powder', '88a', '12', '337'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,"PRODOT 12/88, 88A,36A 1005 1020 1010 126NW 2900 Printer... 4.6 (46)",445.0,0.3297,embedding,NO,False,False,True,True,,,receiver sparsh wlc,005 010 020 1005 1010 1020 12 126nw 2 2900 36a 46 6 88 88a 900,1,1,REJECT,"cosine 0.330 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'900', '46', '1020', '12', '6', '2', '1005', '2900', '1010', '010', '36a', '005', '88', '88a', '020', '126nw'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,PRODOT DMP Ribbon Cartridge Compatible with EPSON PLQ 2... 3.5 (28),299.0,0.3218,embedding,NO,False,False,True,True,,,receiver sparsh wlc,28 8 dmp plq ribbon,1,1,REJECT,"cosine 0.322 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'plq', '8', 'dmp', 'ribbon', '28'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,PRODOT ProSeries Dot Matrix Ribbon Cartridge Compatible...,299.0,0.2752,embedding,NO,False,False,True,True,,,receiver sparsh wlc,dot matrix proseries ribbon,1,1,REJECT,"cosine 0.275 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'dot', 'matrix', 'proseries', 'ribbon'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,PRODOT H-2612A Laser Toner Cartridge for HP Q2612A & Ca... 4 (25),554.0,0.2686,embedding,NO,False,False,True,True,,,receiver sparsh wlc,25 2612a 5 ca q2612a,1,1,REJECT,"cosine 0.269 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'q2612a', '25', '2612a', 'ca', '5'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,PRODOT H-2612A Laser Toner Cartridge for HP Q2612A & Ca... 3.9 (24),554.0,0.2571,embedding,NO,False,False,True,True,,,receiver sparsh wlc,24 2612a 4 ca q2612a,1,1,REJECT,"cosine 0.257 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'q2612a', '4', '2612a', 'ca', '24'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,PRODOT ProSeries Dot Matrix Ribbon Cartridge Compatible... 4.9 (8),649.0,0.2398,embedding,NO,False,False,True,True,,,receiver sparsh wlc,dot matrix proseries ribbon,1,1,REJECT,"cosine 0.240 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'dot', 'matrix', 'proseries', 'ribbon'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,PRODOT 2612A/12A Laser Toner Cartridge for HP Q2612A & ... 3.8 (46),779.0,0.2374,embedding,NO,False,False,True,True,,,receiver sparsh wlc,12a 2612a 46 6 q2612a,1,1,REJECT,"cosine 0.237 < 0.6; no model token overlap ({'receiver', 'sparsh', 'wlc'} vs {'q2612a', '46', '2612a', '6', '12a'})"
19,LAPCARE Non Mechanical Wired Computer …,lapcare-lmk-012,300.0,lapcare lmk 012,,LAPCARE LMK-012 Wired USB Standard Desktop Keyboard Com... Balck 3.8 (67),489.0,0.7108,embedding,YES,True,True,True,True,,,012 12 lmk mechanical non,012 12 67 7 balck com lmk,1,1,ACCEPT,accept
19,LAPCARE Non Mechanical Wired Computer …,lapcare-lmk-012,300.0,lapcare lmk 012,,"LAPCARE Champ LGM-100 Wired Ambidextrous Hybrid  Gaming... USB 2.0, Black",999.0,0.6148,embedding,NO,True,False,True,True,,,012 12 lmk mechanical non,00 100 champ hybrid lgm,1,1,REJECT,"no model token overlap ({'lmk', 'non', 'mechanical', '012', '12'} vs {'lgm', '00', 'champ', '100', 'hybrid'})"
19,LAPCARE Non Mechanical Wired Computer …,lapcare-lmk-012,300.0,lapcare lmk 012,,LAPCARE LWK-1119 Wireless Standard Laptop Keyboard Comp... Black 3.5 (4),599.0,0.5997,embedding,NO,False,False,True,True,,,012 12 lmk mechanical non,1119 comp lwk,1,1,REJECT,"cosine 0.600 < 0.6; no model token overlap ({'lmk', 'non', 'mechanical', '012', '12'} vs {'1119', 'lwk', 'comp'})"
19,LAPCARE Non Mechanical Wired Computer …,lapcare-lmk-012,300.0,lapcare lmk 012,,LAPCARE 720P HD Webcam for PC Desktop & Laptop with Bui... Black 3.4 (21),953.0,0.409,embedding,NO,False,False,True,True,,,012 12 lmk mechanical non,1 21 720p bui hd,1,1,REJECT,"cosine 0.409 < 0.6; no model token overlap ({'lmk', 'non', 'mechanical', '012', '12'} vs {'hd', 'bui', '21', '720p', '1'})"
19,LAPCARE Non Mechanical Wired Computer …,lapcare-lmk-012,300.0,lapcare lmk 012,,"LAPCARE LWC-042 / 720P HD HD Webcam 720p, with Micropho... Black 3.6 (540)",890.0,0.3078,embedding,NO,False,False,True,True,,,012 12 lmk mechanical non,042 40 42 540 720p hd lwc micropho,1,1,REJECT,"cosine 0.308 < 0.6; no model token overlap ({'lmk', 'non', 'mechanical', '012', '12'} vs {'540', '042', 'hd', 'lwc', '40', 'micropho', '720p', '42'})"
20,ProDot Non Mechanical Wired Computer Keyboard,prodot-kb-297rs-malayalam-regional-usb-keyboard-with,300.0,prodot kb 297rs malayalam regional usb keyboard with,prodot kb 297rs,PRODOT Laptop Keypad Size 217m Mini Wired Keyboard Wire... 3.9 (710),395.0,0.6604,embedding,NO,True,False,True,True,,,297rs kb malayalam mechanical non regional,10 217m 710 keypad size wire,1,1,REJECT,"no model token overlap ({'kb', 'malayalam', 'regional', 'non', 'mechanical', '297rs'} vs {'keypad', '217m', 'size', 'wire', '10', '710'})"
24,VOLTRIQ High End Desktop Computer with …,voltriq,22500.0,voltriq,,"Voltriq X80 Men’s Hair Trimmer – Cordless, Lightweight ... White",849.0,0.4153,embedding,NO,False,True,False,True,desktop,,end high voltriq,80 cordless hair lightweight men trimmer voltriq x80,1,80,REJECT,cosine 0.415 < 0.6; pack mismatch (gem=1 vs fk=80)
24,VOLTRIQ High End Desktop Computer with …,voltriq,22500.0,voltriq,,Voltriq X168 Electric Hair Clipper & Beard Trimmer with... White,849.0,0.4045,embedding,NO,False,True,False,True,desktop,,end high voltriq,168 beard clipper electric hair trimmer voltriq x168,1,168,REJECT,cosine 0.405 < 0.6; pack mismatch (gem=1 vs fk=168)
24,VOLTRIQ High End Desktop Computer with …,voltriq,22500.0,voltriq,,Voltriq M809-A_Wireless Hair Cutting Trimmer | Precisio... White,849.0,0.3888,embedding,NO,False,True,True,True,desktop,,end high voltriq,809 cutting hair m809 precisio trimmer voltriq,1,1,REJECT,cosine 0.389 < 0.6
24,VOLTRIQ High End Desktop Computer with …,voltriq,22500.0,voltriq,,Voltriq M809-A_Wireless Hair Cutting Trimmer | Precisio... White,869.0,0.3888,embedding,NO,False,True,True,True,desktop,,end high voltriq,809 cutting hair m809 precisio trimmer voltriq,1,1,REJECT,cosine 0.389 < 0.6
24,VOLTRIQ High End Desktop Computer with …,voltriq,22500.0,voltriq,,Voltriq X315 High-Performance Beard Trimmer – Adjustabl... White,869.0,0.3773,embedding,NO,False,True,False,True,desktop,,end high voltriq,315 adjustabl beard high performance trimmer voltriq x315,1,315,REJECT,cosine 0.377 < 0.6; pack mismatch (gem=1 vs fk=315)
25,hp High End Desktop Computer with Warranty 3 …,hp-prodesk-4-g1i-u7-265-dos-3213,22500.0,hp prodesk 4 g1i u7 265,hp prodesk 4,HP HyperX Omen Intel Core i7 14th Gen 14650HX - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,157990.0,0.4127,embedding,NO,False,True,True,False,desktop,laptop,213 265 3213 65 7 dos end g1i high prodesk u7,11 14650hx 14th 24 4 7 core graphics home hyperx i7 omen windows,1,1,REJECT,cosine 0.413 < 0.6; form factor mismatch (gem=desktop vs fk=laptop)
25,hp High End Desktop Computer with Warranty 3 …,hp-prodesk-4-g1i-u7-265-dos-3213,22500.0,hp prodesk 4 g1i u7 265,hp prodesk 4,HP 65W Smart AC Adapter 19.5V 4.5mm Blue Pin Laptop Charger Y5Y43AA 65 W Adapter,918.0,0.3239,embedding,NO,False,True,True,False,desktop,laptop,213 265 3213 65 7 dos end g1i high prodesk u7,19 5 5mm 5v 65 65w 9 ac pin smart y5y43aa,1,1,REJECT,cosine 0.324 < 0.6; form factor mismatch (gem=desktop vs fk=laptop)
25,hp High End Desktop Computer with Warranty 3 …,hp-prodesk-4-g1i-u7-265-dos-3213,22500.0,hp prodesk 4 g1i u7 265,hp prodesk 4,"HP KM260 PS2 Standard Desktop Keyboard Compatible with Desktop, Laptop, Mac",1320.0,0.2724,embedding,NO,False,False,True,True,desktop,,213 265 3213 65 7 dos end g1i high prodesk u7,260 km260 mac,1,1,REJECT,"cosine 0.272 < 0.6; no model token overlap ({'u7', 'dos', 'end', '7', '65', 'high', '265', '3213', 'prodesk', '213', 'g1i'} vs {'260', 'km260', 'mac'})"
25,hp High End Desktop Computer with Warranty 3 …,hp-prodesk-4-g1i-u7-265-dos-3213,22500.0,hp prodesk 4 g1i u7 265,hp prodesk 4,"HP K260 Wireless Standard Laptop Keyboard Compatible with Desktop, Laptop, Mac Quick, Comfy, Accurate,...",699.0,0.2157,embedding,NO,False,False,True,True,desktop,,213 265 3213 65 7 dos end g1i high prodesk u7,260 accurate comfy k260 mac quick,1,1,REJECT,"cosine 0.216 < 0.6; no model token overlap ({'u7', 'dos', 'end', '7', '65', 'high', '265', '3213', 'prodesk', '213', 'g1i'} vs {'accurate', 'quick', 'mac', 'comfy', '260', 'k260'})"
25,hp High End Desktop Computer with Warranty 3 …,hp-prodesk-4-g1i-u7-265-dos-3213,22500.0,hp prodesk 4 g1i u7 265,hp prodesk 4,"HP 260 Wireless Wireless Standard Laptop Keyboard Compatible with Desktop, Laptop, Tablet, Mac",1552.0,0.1767,embedding,NO,False,False,True,True,desktop,,213 265 3213 65 7 dos end g1i high prodesk u7,260 60 mac tablet,1,1,REJECT,"cosine 0.177 < 0.6; no model token overlap ({'u7', 'dos', 'end', '7', '65', 'high', '265', '3213', 'prodesk', '213', 'g1i'} vs {'mac', '60', '260', 'tablet'})"
26,hp High End Desktop Computer with Warranty 5 …,hp-280-g9-mt-i7-14700-dos-161pcie5,22500.0,hp 280 g9 mt i7 14700,hp 280 g9,HP 15R (2025) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Pro) 15R G9 Thin and Light La...,57990.0,0.4799,embedding,NO,False,True,True,False,desktop,laptop,14700 161pcie5 280 4700 5 7 80 9 dos end g9 high i7 mt,025 11 12 1315u 13th 15r 2025 3 512 9 core g9 i3 la light thin windows,1,1,REJECT,cosine 0.480 < 0.6; form factor mismatch (gem=desktop vs fk=laptop)
26,hp High End Desktop Computer with Warranty 5 …,hp-280-g9-mt-i7-14700-dos-161pcie5,22500.0,hp 280 g9 mt i7 14700,hp 280 g9,HP OMEN (i7 14th Gen) Intel Core 7 240H - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce...,146134.0,0.4761,embedding,NO,False,True,True,False,desktop,laptop,14700 161pcie5 280 4700 5 7 80 9 dos end g9 high i7 mt,11 14th 24 240h 4 7 core geforce graphics home i7 omen windows,1,1,REJECT,cosine 0.476 < 0.6; form factor mismatch (gem=desktop vs fk=laptop)
